Student ID,Placement 1,Placement 2,Year
S191,CH4020,PH4020,Junior
S192,CH4020,PH4020,Junior
S193,CH4020,PH3500,Junior
S194,CH4120,PH4020,Junior
S195,CH4020,PH4020,Junior
S196,CH4020,PH4020,Junior
S197,CH3500,PH3500,Junior
S198,CH3500,PH3500,Junior
S199,CH3500,PH3500,Junior
S200,CH4020,PH4020,Junior
S201,CH3500,PH3500,Junior
S202,CH3500,PH3500,Junior
S203,CH3500,PH3500,Junior
S204,CH4020,PH4020,Junior
S205,CH4020,PH4020,Junior
S206,CH4020,PH3500,Junior
S207,CH4020,PH3500,Junior
S208,CH4020,PH4020,Junior
S209,CH4020,PH4020,Junior
S210,CH4020,PH4020,Junior
S211,CH4020,PH4020,Junior
S212,CH4020,PH4020,Junior
S213,CH4020,PH4020,Junior
S214,CH3500,,Junior
S215,CH3500,PH3500,Junior
S216,CH3500,PH3500,Junior
S217,CH3500,PH3500,Junior
S218,CH4020,PH4020,Junior
S219,CH4120,PH3500,Junior
S220,CH4020,PH3500,Junior
S221,CH4020,PH4020,Junior
S222,CH4020,PH4020,Junior
S223,CH4020,PH4020,Junior
S224,CH3500,PH4020,Junior
S225,CH4020,PH3500,Junior
S226,CH4020,PH3500,Junior
S227,NO TEST,PH3500,Junior
S228,CH3500,PH3500,Junior
S229,CH4020,PH4020,Junior
S230,CH4020,PH4020,Junior
S231,CH3500,PH3500,Junior
S232,CH3500,PH3500,Junior
S233,CH4020,PH3500,Junior
S234,CH4020,PH4020,Junior
S235,CH4120,PH4240,Junior
S236,CH3500,PH4020,Junior
S237,CH4020,PH4020,Junior
S238,CH3500,PH3500,Junior
S239,CH4020,PH3500,Junior
S240,CH3500,PH4020,Junior
S241,CH4020,PH3500,Junior
S242,CH4020,PH4020,Junior
S243,CH4020,PH4020,Junior
S244,CH4020,PH4020,Junior
S245,CH4020,PH4020,Junior
S246,CH4020,PH4020,Junior
S247,CH4020,PH4020,Junior
S248,CH4020,PH4020,Junior
S249,CH3500,PH3500,Junior
S250,CH4020,PH4020,Junior
S251,CH4120,PH4020,Junior
S252,CH4020,PH3500,Junior
S253,CH4020,PH4020,Junior
S254,CH4020,PH3500,Junior
S255,CH4020,PH3500,Junior
S256,CH4020,PH4020,Junior
S257,CH3500,PH3500,Junior
S258,CH4020,PH4020,Junior
S259,CH4020,PH3500,Junior
S260,CH4020,PH3500,Junior
S261,CH3500,PH3500,Junior
S262,CH3500,PH3500,Junior
S263,CH4020,PH4020,Junior
S265,NO TEST,PH3500,Junior
S266,CH4020,PH4020,Junior
S267,CH4020,PH4020,Junior
S268,CH4020,PH4020,Junior
S269,CH4020,PH3500,Junior
S270,CH3500,PH4020,Junior
S271,CH4020,PH3500,Junior
S272,CH4020,PH3500,Junior
S273,CH3500,PH4020,Junior
S274,CH3500,PH3500,Junior
S275,CH4020,PH4020,Junior
S276,CH4020,PH4020,Junior
S277,CH3500,PH3500,Junior
S278,EXEMPT,PH4020,Junior
S279,CH4020,PH3500,Junior
S280,CH4020,PH4020,Junior
S281,CH4020,PH4240,Junior
S283,CH3500,PH3500,Junior
S284,CH3500,PH3500,Junior
S285,CH3500,PH4020,Junior
S286,CH4120,PH4020,Junior
S287,CH4020,PH4020,Junior
S288,CH4020,PH3500,Junior
S289,CH3500,PH3500,Junior
S290,CH4020,PH4020,Junior
S291,CH3500,PH3500,Junior
S292,NO TEST,PH3500,Junior
S293,CH3500,PH3500,Junior
S294,CH3500,PH3500,Junior
S295,CH4120,PH4020,Junior
S296,CH4020,PH4020,Junior
S297,CH4020,PH4020,Junior
S298,CH4020,PH4020,Junior
S299,CH4020,PH4020,Junior
S300,CH4020,PH4020,Junior
S301,CH4020,PH3500,Junior
S302,CH4020,PH4020,Junior
S303,CH3500,PH3500,Junior
S304,CH4020,PH4020,Junior
S305,CH3500,PH4020,Junior
S306,CH4120,PH4020,Junior
S307,CH4020,PH3500,Junior
S308,CH4020,PH4020,Junior
S309,CH4020,PH3500,Junior
S310,CH3500,PH3500,Junior
S311,CH4020,PH3500,Junior
S312,CH4020,PH4020,Junior
S313,CH4020,PH3500,Junior
S314,CH4120,PH4020,Junior
S315,CH4020,PH4020,Junior
S316,CH3500,PH3500,Junior
S317,CH3500,PH3500,Junior
S318,CH3500,PH3500,Junior
S319,CH4020,PH4020,Junior
S320,CH3500,PH3500,Junior
S321,CH4020,PH4240,Junior
S322,CH3500,PH3500,Junior
S323,CH4020,PH3500,Junior
S324,CH3500,PH3500,Junior
S325,CH4020,PH4020,Junior
S326,CH4020,PH4020,Junior
S327,CH4020,PH4020,Junior
S328,CH4120,PH4020,Junior
S330,CH3500,PH3500,Junior
S331,CH4020,PH4020,Junior
S332,CH4020,PH4240,Junior
S333,CH4020,PH4020,Junior
S334,CH4020,PH3500,Junior
S335,CH4020,PH3500,Junior
S336,CH4020,PH4020,Junior
S337,CH4020,PH4020,Junior
S338,CH4020,PH4020,Junior
S339,CH4020,PH4020,Junior
S340,CH4020,PH4020,Junior
S341,CH3500,PH3500,Junior
S342,CH4020,PH3500,Junior
S343,CH4020,PH4020,Junior
S344,CH4020,PH3500,Junior
S345,CH4020,,Junior
S346,CH4020,PH4020,Junior
S347,CH3500,PH3500,Junior
S348,CH3500,PH3500,Junior
S349,CH3500,PH3500,Junior
S350,CH4020,PH3500,Junior
S351,CH3500,PH3500,Junior
S352,CH4020,PH3500,Senior
S353,CH4020,PH4020,Senior
S354,CH3500,PH3500,Senior
S355,CH4120,PH4020,Senior
S356,CH4020,PH4020,Senior
S357,CH4020,PH4020,Senior
S358,CH3500,PH3500,Senior
S359,CH4020,PH4020,Senior
S360,CH3500,PH4020,Senior
S361,CH4020,PH4020,Senior
S362,CH4020,PH3500,Senior
S363,CH4020,PH4020,Senior
S364,CH3500,PH3500,Senior
S365,CH3500,PH3500,Senior
S366,EXEMPT,PH4020,Senior
S367,EXEMPT,PH4020,Senior
S368,CH4020,PH4020,Senior
S369,CH4020,PH4020,Senior
S370,CH4020,PH4020,Senior
S371,CH3500,PH3500,Senior
S372,CH4020,PH4020,Senior
S373,CH4020,PH4020,Senior
S374,EXEMPT,PH4020,Senior
S375,CH4020,PH4020,Senior
S376,CH4020,PH4020,Senior
S377,CH3500,PH4020,Senior
S378,CH3500,PH3500,Senior
S379,CH4020,PH4020,Senior
S380,CH3500,PH3500,Senior
