Class,Course,Section,Course code,School level,Start term,Block,Max class size
RE1018 Excellence in Leadership - RE1018-003,RE1018 Excellence in Leadership,RE1018-003,RE1018,NCSSM Durham,2nd Semester,F3,22
RE1020 Financial Planning - RE1020-006,RE1020 Financial Planning,RE1020-006,RE1020,NCSSM Durham,2nd Semester,A2,22
RE1020 Financial Planning - RE1020-007,RE1020 Financial Planning,RE1020-007,RE1020,NCSSM Durham,2nd Semester,F3,22
RE1020 Financial Planning - RE1020-008,RE1020 Financial Planning,RE1020-008,RE1020,NCSSM Durham,2nd Semester,G3,22
RE1022 College and Career Planning - RE1022-001,RE1022 College and Career Planning,RE1022-001,RE1022,NCSSM Durham,2nd Semester,A2,22
RE1022 College and Career Planning - RE1022-002,RE1022 College and Career Planning,RE1022-002,RE1022,NCSSM Durham,2nd Semester,A4,22
RE1022 College and Career Planning - RE1022-003,RE1022 College and Career Planning,RE1022-003,RE1022,NCSSM Durham,2nd Semester,B3,22
RE1022 College and Career Planning - RE1022-004,RE1022 College and Career Planning,RE1022-004,RE1022,NCSSM Durham,2nd Semester,B4,22
RE1022 College and Career Planning - RE1022-005,RE1022 College and Career Planning,RE1022-005,RE1022,NCSSM Durham,2nd Semester,C3,22
RE1022 College and Career Planning - RE1022-006,RE1022 College and Career Planning,RE1022-006,RE1022,NCSSM Durham,2nd Semester,C4,22
RE1022 College and Career Planning - RE1022-007,RE1022 College and Career Planning,RE1022-007,RE1022,NCSSM Durham,2nd Semester,D2,22
RE1022 College and Career Planning - RE1022-008,RE1022 College and Career Planning,RE1022-008,RE1022,NCSSM Durham,2nd Semester,D3,22
RE1022 College and Career Planning - RE1022-009,RE1022 College and Career Planning,RE1022-009,RE1022,NCSSM Durham,2nd Semester,E2,22
RE1022 College and Career Planning - RE1022-010,RE1022 College and Career Planning,RE1022-010,RE1022,NCSSM Durham,2nd Semester,E2,22
RE1022 College and Career Planning - RE1022-011,RE1022 College and Career Planning,RE1022-011,RE1022,NCSSM Durham,2nd Semester,E3,22
RE1022 College and Career Planning - RE1022-012,RE1022 College and Career Planning,RE1022-012,RE1022,NCSSM Durham,2nd Semester,F2,22
RE1022 College and Career Planning - RE1022-013,RE1022 College and Career Planning,RE1022-013,RE1022,NCSSM Durham,2nd Semester,F3,22
RE1022 College and Career Planning - RE1022-014,RE1022 College and Career Planning,RE1022-014,RE1022,NCSSM Durham,2nd Semester,F4,22
RE1022 College and Career Planning - RE1022-015,RE1022 College and Career Planning,RE1022-015,RE1022,NCSSM Durham,2nd Semester,G3,22
RE1022 College and Career Planning - RE1022-016,RE1022 College and Career Planning,RE1022-016,RE1022,NCSSM Durham,2nd Semester,G4,22
SE4001 Emergency Care - SE4001-001,SE4001 Emergency Care,SE4001-001,SE4001,NCSSM Durham,2nd Semester,B134L,14
SP3052 Journeys in Spanish II - SP3052-001,SP3052 Journeys in Spanish II,SP3052-001,SP3052,NCSSM Durham,2nd Semester,A1245,20
SP3052 Journeys in Spanish II - SP3052-002,SP3052 Journeys in Spanish II,SP3052-002,SP3052,NCSSM Durham,2nd Semester,B1345,20
SP3652 Navigating in Spanish II - SP3652-001,SP3652 Navigating in Spanish II,SP3652-001,SP3652,NCSSM Durham,2nd Semester,A1245,20
SP3652 Navigating in Spanish II - SP3652-002,SP3652 Navigating in Spanish II,SP3652-002,SP3652,NCSSM Durham,2nd Semester,B1345,20
SP3652 Navigating in Spanish II - SP3652-003,SP3652 Navigating in Spanish II,SP3652-003,SP3652,NCSSM Durham,2nd Semester,C1345,20
SP4250 Spanish for Heritage Speakers - SP4250-001,SP4250 Spanish for Heritage Speakers,SP4250-001,SP4250,NCSSM Durham,2nd Semester,E135L,20
SP4252 Topics in Advanced Spanish II: Afro-Spanish Caribbeans and their Contributions - SP4252-001,SP4252 Topics in Advanced Spanish II: Afro-Spanish Caribbeans and their Contributions,SP4252-001,SP4252,NCSSM Durham,2nd Semester,E135L,22
SP4252 Topics in Advanced Spanish II: Afro-Spanish Caribbeans and their Contributions - SP4252-002,SP4252 Topics in Advanced Spanish II: Afro-Spanish Caribbeans and their Contributions,SP4252-002,SP4252,NCSSM Durham,2nd Semester,F134L,22
SS4050 AP Psychology - SS4050-001,SS4050 AP Psychology,SS4050-001,SS4050,NCSSM Durham,2nd Semester,A12L4,30
SS4050 AP Psychology - SS4050-002,SS4050 AP Psychology,SS4050-002,SS4050,NCSSM Durham,2nd Semester,B134L,30
SS4070 AP Macroeconomics - SS4070-001,SS4070 AP Macroeconomics,SS4070-001,SS4070,NCSSM Durham,2nd Semester,E13L5,24
